greind	greindur
greinilega	greinilegur
greip	greipur
greiða	greiður
greiði	greiður
greypa	greypur
grunsamlega	grunsamlegur
guggna	gugginn
gul	gulur
gula	gulur
guðdómlega	guðdómlegur
gæfa	gæfur
gætilega	gætilegur
göfga	göfgur
hafna	hafinn
haft	hafður
hagi	hagur
halla	hallur
halli	hallur
haltra	haltur
handsama	handsamur
harkalega	harkalegur
hebreska	hebreskur
hefnd	hefndur
hefta	heftur
heiftarlega	heiftarlegur
heili	heill
heilnæmi	heilnæmur
heimila	heimill
heimsendir	heimsendur
heimska	heimskur
heimta	heimtur
heit	heitur
heita	heitur
heiti	heitur
heiði	heiður
heiðni	heiðinn
heiðra	heiður
helga	helgur
helgi	helgur
henta	hentur
hitta	hittur
hjartanlega	hjartanlegur
hljóð	hljóður
hljóða	hljóður
hlutfallslega	hlutfallslegur
hlæja	hlær
hlíta	hlítur
hlýja	hlýr
hlýðni	hlýðinn
hneigð	hneigður
hnyttni	hnyttinn
hola	holur
holdsveiki	holdsveikur
hratt	hraður
hraða	hraður
hraði	hraður
hrein	hreinn
hreinlega	hreinlegur
hreinskilni	hreinskilinn
hreinskilnislega	hreinskilnislegur
hressa	hress
hreyfa	hreyfur
hrista	hristur
hræsna	hræsinn
hræsnari	hræsinn
hræsni	hræsinn
hugsunarlaust	hugsunarlaus
hundraðfalda	hundraðfaldur
hvati	hvatur
hverfa	hverfur
hverfi	hverfur
hverflyndi	hverflyndur
hvíld	hvíldur
hvöt	hvatur
háls	háll
hás	hár
hátt	hár
hátíðlega	hátíðlegur
háð	háður
hæfa	hæfur
hæfilega	hæfilegur
hæfni	hæfinn
hægri	hægur
hægt	hægur
hætta	hættur
hótfyndni	hótfyndinn
höll	hallur
húm	húmur
illa	illur
illkvittni	illkvittinn
jafna	jafn
jafngengi	jafngengur
jafngilda	jafngildur
jafngildi	jafngildur
jafnharðan	jafnharður
jafnt	jafn
jafnvægi	jafnvægur
kafna	kafinn
kaldhæðni	kaldhæðinn
kaldhæðnislega	kaldhæðnislegur
karlmennska	karlmennskur
keltneska	keltneskur
keppni	keppinn
kjánalega	kjánalegur
klaufalega	klaufalegur
klára	klár
kreista	kreistur
kristni	kristinn
krossfesta	krossfestur
kröftuglega	kröftuglegur
kulna	kulinn
kurteisi	kurteis
kurteislega	kurteislegur
kvika	kvikur
kyrra	kyrr
kæna	kænn
kæra	kær
kæruleysislega	kæruleysislegur
lagni	laginn
lama	lamur
langa	langur
langlífi	langlífur
langt	langur
laoska	laoskur
lasna	lasinn
lauslega	lauslegur
leika	leikur
leikari	leikur
leið	leiður
leiða	leiður
leiðari	leiður
leiðrétta	leiðréttur
leka	lekur
lend	lendur
lenda	lendur
lengd	lengdur
lengra	langur
lest	lestur
leynt	leyndur
limlesta	limlestur
lina	linur
lita	litur
lostæti	lostætur
lyfta	lyftur
lyst	lystur
læsa	læs
létta	léttur
léttir	léttur
lík	líkur
líklega	líklegur
lögheimili	lögheimill
löglega	löglegur
lúta	lútur
makedónska	makedónskur
maki	makur
mannalega	mannalegur
mannúðlega	mannúðlegur
margfalda	margfaldur
melta	meltur
mennta	menntur
merki	merkur
mikilvægi	mikilvægur
mikið	mikill
milda	mildur
mildilega	mildilegur
minna	lítill
misræmi	misræmur
mitt	miður
mið	miður
miðja	miður
mjólk	mjólkur
mjólka	mjólkur
mjúklega	mjúklegur
mælska	mælskur
mæta	mætur
mætir	mætur
móðir	móður
mögulega	mögulegur
mök	makur
mýkt	mýktur
nefnilega	nefnilegur
neikvætt	neikvæður
neikvæði	neikvæður
neyta	neytur
neðstur	neðri
nákvæmlega	nákvæmlegur
nálega	nálegur
nálægt	nálægur
nánast	náinn
náð	náður
náða	náður
nægilega	nægilegur
næmi	næmur
næsta	næstur
næstum	næstur
nífalt	nífaldur
níska	nískur
nísta	nístur
níutugasti	níu-tugur
nýlega	nýlegur
ofarlega	ofarlegur
opinbera	opinber
opinberlega	opinberlegur
opinskátt	opinskár
opna	opinn
opnast	opinn
orðfæri	orðfær
penni	penn
persneska	persneskur
persónulega	persónulegur
prettvísi	prettvís
pólska	pólskur
raka	rakur
rakari	rakur
raki	rakur
rakki	rakkur
ramma	rammur
rammi	rammur
ranglega	ranglegur
reglulega	reglulegur
reið	reiður
reiði	reiður
reyndar	reyndur
rifna	rifinn
rifta	riftur
rist	ristur
rista	ristur
rotna	rotinn
runni	runninn
rækt	rækur
ræða	ræður
ræðari	ræður
rétt	réttur
rétta	réttur
rífa	rífur
rífast	rífur
ríki	ríkur
ríkulega	ríkulegur
ró	rór
róa	rór
rós	rór
rök	rakur
salt	saltur
sameiginlega	sameiginlegur
sameina	sameinn
samheldni	samheldinn
samhverfa	samhverfur
samkvæmt	samkvæmur
samráð	samráður
samræma	samræmur
samræmi	samræmur
samþykki	samþykkur
sanna	sannur
sannarlega	sannarlegur
sannlega	sannlegur
sannsögli	sannsögull
sekt	sekur
senda	sendur
sett	settur
sexfalt	sexfaldur
sikileyska	sikileyskur
sjöfalt	sjöfaldur
skamma	skammur
skemmtilega	skemmtilegur
skipta	skiptur
skiptast	skiptur
skipti	skiptur
skitna	skitinn
skjalla	skjallur
skjóta	skjótur
skjótt	skjóttur
skoska	skoskur
skreppa	skreppur
skriðþungi	skriðþungur
skyggni	skyggn
skylda	skyldur
skyndilega	skyndilegur
skæri	skær
skíra	skír
skírlífi	skírlífur
skömm	skammur
skörulega	skörulegur
skýla	skýll
skýra	skýr
skýrt	skýrður
slaka	slakur
sleppa	sleppur
slitna	slitinn
slægð	slægður
slétta	sléttur
smá	smár
smátt	smár
snara	snar
snerta	snertur
snyrta	snyrtur
snyrtilega	snyrtilegur
sofna	sofinn
spara	spar
sparlega	sparlegur
spænska	spænskur
staka	stakur
stama	stamur
staða	staður
staðfesta	staðfestur
staðna	staðinn
steind	steindur
stirðlega	stirðlegur
stolt	stoltur
storkna	storkinn
stríð	stríður
stríðni	stríðinn
stuttlega	stuttlegur
stytta	styttur
stífna	stífinn
stífni	stífinn
stórilla	stórillur
stórlega	stórlegur
stökk	stökkur
stöð	staður
stöðugt	stöðugur
sundurlyndi	sundurlyndur
svala	svalur
svali	svalur
svalir	svalur
svella	svellur
sverta	svertur
svipta	sviptur
synd	syndur
synda	syndur
syndari	syndur
sátt	sáttur
sækni	sækinn
sæla	sæll
særa	sær
sæta	sætur
sætta	sættur
sérstaklega	sérstaklegur
sífellt	sífelldur
síða	síður
síðan	síður
síðar	síður
síðari	síður
síðastur	síðari
sómasamlega	sómasamlegur
súra	súr
sýkna	sýkinn
sýn	sýnn
sýna	sýnn
sýnd	sýndur
tigna	tiginn
tilgerð	tilgerður
tortryggni	tortrygginn
traust	traustur
tryggð	tryggður
trú	trúr
trúa	trúr
trúhneigð	trúhneigður
trúrækni	trúrækinn
tvenna	tvennur
tvímælalaust	tvímælalaus
tvöfalda	tvöfaldur
tvöfalt	tvöfaldur
tæki	tækur
tæra	tær
tíska	tískur
tíðum	tíður
tóm	tómur
tútna	tútinn
umburðarlyndi	umburðarlyndur
undanfarið	undanfarinn
undantekningarlaust	undantekningarlaus
undirgefni	undirgefinn
ungi	ungur
uppgerð	uppgerður
upprunalega	upprunalegur
vakta	vakinn
valda	valinn
vana	vanur
vandi	vaninn
vandlega	vandlegur
vanhelga	vanhelgur
vani	vanur
vansæmd	vansæmdur
vara	var
varfærni	varfærinn
varlega	varlegur
varða	varinn
vegna	veginn
venda	vendur
venjulega	venjulegur
verkfæri	verkfær
verklagni	verklaginn
verpa	verpur
verri	illur
verð	verður
verða	verður
villa	villur
villast	villur
vinsamlega	vinsamlegur
virki	virkur
virkilega	virkilegur
virða	virður
virði	virður
virðulega	virðulegur
visna	visinn
vændi	vændur
vænta	væntur
víg	vígur
vísa	vís
víða	víður
víðir	víður
vör	var
ydda	yddur
yddari	yddur
yngri	ungur
yst	ytri
